periodo,fecha,hora,autopista,banda_y_o_ramal,pk,long_estacion,lat_estacion,condiciones_meteorologicas,superficie_de_la_via,lesionados,fallecidos,tipo_de_siniestro,moto,liviano,bus,camion
201401,41640,1,AU CAMPORA,ASCENDENTE,600,-58392452,-34583133,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0
201401,41640,22,AU 25 DE MAYO,ASCENDENTE,5900,-58374822,-34592589,BUENO,SECA,8,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0
201401,41699,7,AU CAMPORA,DESCENDENTE,600,-58368918,-34611242,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,0,0,1
201401,41730,9,AU 25 DE MAYO,DESCENDENTE,4700,-58368950,-34601721,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0
201401,41791,10,AU 25 DE MAYO,ASCENDENTE,5600,-58420997,-34580127,BUENO,SECA,2,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0
201401,41852,11,AU 25 DE MAYO,DESCENDENTE,3200,-58369709,-34628301,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0
201401,41654,18,AU 25 DE MAYO,DESCENDENTE,8600,-58380990,-34605840,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,0
201401,41654,20,AU 25 DE MAYO,DESCENDENTE,1700,-58389253,-34609930,BUENO,SECA,2,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0
201612,42533,14,AU PERTIO MORENO,ASCENDENTE,5700,-58407145,-34583915,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,0
201612,42533,20,AU PERTIO MORENO,DESCENDENTE,1000,-58365746,-34615551,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1
