periodo;fecha;hora;autopista;banda_y_o_ramal;pk;latitud_ longitud;lat_estacion;long_estacion;condiciones_meteorologicas;superficie_de_la_via;lesionados;fallecidos;tipo_de_siniestro;moto;liviano;bus;camion
201401;1/1/2014;1;AU CAMPORA;ASCENDENTE;600;-34.65590553174802, -58.46112834795963;-34.65590553174802;-58.46112834795963;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
201401;1/1/2014;22;AU 25 DE MAYO;ASCENDENTE;5900;-34.63410491560772, -58.44411036638417;-34.63410491560772;-58.44411036638417;BUENO;SECA;8;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201401;1/3/2014;7;AU CAMPORA;DESCENDENTE;600;-34.67085374752347, -58.44225898102511;-34.67085374752347;-58.44225898102511;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;0;0;1
201401;1/4/2014;9;AU 25 DE MAYO;DESCENDENTE;4700;-34.62858263068256, -58.42405139930388;-34.62858263068256;-58.42405139930388;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201401;1/6/2014;10;AU 25 DE MAYO;ASCENDENTE;5600;-34.632573859835055, -58.44169032830188;-34.63257385983505; -58.44169032830188;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
201401;1/8/2014;11;AU 25 DE MAYO;DESCENDENTE;3200;-34.63155203669467, -58.43989374993352;-34.63155203669467;-58.43989374993352;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
201401;15/1/2014;18;AU 25 DE MAYO;DESCENDENTE;8600;-34.62257903103072, -58.38217184434062;-34.62257903103072;-58.38217184434062;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;0
201401;15/1/2014;20;AU 25 DE MAYO;DESCENDENTE;1700;-34.63601715286618, -58.44943628067905;-34.63601715286618;-58.44943628067905;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
201612;12/6/2016;14;AU PERTIO MORENO;ASCENDENTE;5700;-34.64917363332506, -58.47258500264968;-34.64917363332506;-58.47258500264968;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
201612;12/6/2016;20;AU PERTIO MORENO;DESCENDENTE;1000;-34.635697019993046, -58.5175173824121;-34.63569701999304; -58.5175173824121;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
201612;12/7/2016;4;AU PERTIO MORENO;DESCENDENTE;1900;-34.63594822730457, -58.50787947626105;-34.63594822730457;-58.50787947626105;BUENO;SECA;0;1;COLISION CON OBSTACULO FIJO;0;0;0;1
201612;12/7/2016;7;AU 25 DE MAYO;ASCENDENTE;4500;-34.629058510107285, -58.42762852733637;-34.62905851010728; -58.42762852733637;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;7;AU DELLEPIANE;ASCENDENTE;500;-34.68632491831889, -58.4849262390368;-34.68632491831889;-58.4849262390368;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;9;AU PERTIO MORENO;DESCENDENTE;1800;-34.63561407096171, -58.50895823604925;-34.63561407096171;-58.50895823604925;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;12/7/2016;10;AU DELLEPIANE;ASCENDENTE;1500;-34.678577651651274, -58.47967475923415;-34.67857765165127; -58.47967475923415;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;14;AU 25 DE MAYO;DESCENDENTE;5000;-34.628308937043954, -58.422239918526074;-34.62830893704395; -58.422239918526074;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
201612;12/7/2016;16;AU 25 DE MAYO;ASCENDENTE;5800;-34.62721339491386, -58.41363276069759;-34.62721339491386;-58.41363276069759;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;18;AU 25 DE MAYO;ASCENDENTE;6300;-34.62679845905355, -58.40817178313605;-34.62679845905355;-58.40817178313605;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;19;AU 25 DE MAYO;DESCENDENTE;400;-34.647093513045654, -58.463724918165575;-34.64709351304565; -58.463724918165575;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/8/2016;9;AU 25 DE MAYO;ASCENDENTE;1500;-34.639174728366754, -58.45692380987611;-34.63917472836675; -58.45692380987611;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
201612;12/8/2016;17;AU DELLEPIANE;ASCENDENTE;900;-34.68342745747616, -58.48231853462414;-34.68342745747616;-58.48231853462414;BUENO;SECA;4;0;COLISION CON OBSTACULO FIJO;0;1;0;0
201612;12/8/2016;18;AU DELLEPIANE;ASCENDENTE;1000;-34.682662930967666, -58.48162492839486;-34.68266293096766; -58.48162492839486;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
201612;12/9/2016;7;AU 25 DE MAYO;ASCENDENTE;3500;-34.63083267329965, -58.43833610141727;-34.63083267329965;-58.43833610141727;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/9/2016;15;AU PERTIO MORENO;ASCENDENTE;2000;-34.63628364067384, -58.50669661610575;-34.63628364067384;-58.50669661610575;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;0;1;0;0
201612;12/9/2016;17;AU 25 DE MAYO;ASCENDENTE;700;-34.64468806988354, -58.46225379219695;-34.64468806988354;-58.46225379219695;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
201612;12/9/2016;20;AU DELLEPIANE;ASCENDENTE;900;-34.68342745747616, -58.48231853462414;-34.68342745747616;-58.48231853462414;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;12/9/2016;23;AU DELLEPIANE;DESCENDENTE;2200;-34.67271236448175, -58.47687850258376;-34.67271236448175;-58.47687850258376;BUENO;SECA;5;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
201612;12/12/2016;9;AU DELLEPIANE;DESCENDENTE;1200;-34.68118615395085, -58.48053562000203;-34.68118615395085;-58.48053562000203;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;0;0;0
201612;12/12/2016;9;AU DELLEPIANE;ASCENDENTE;2800;-34.66770271017437, -58.474584682522526;-34.66770271017437;-58.474584682522526;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
201612;12/12/2016;11;AU PERTIO MORENO;ASCENDENTE;5400;-34.64887502122829, -58.47570100871951;-34.64887502122829;-58.47570100871951;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;13/12/2016;7;AU 25 DE MAYO;ASCENDENTE;4500;-34.62906595895186, -58.42763115867619;-34.62906595895186;-58.42763115867619;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;13/12/2016;8;AU 25 DE MAYO;ASCENDENTE;1500;-34.63917363603372, -58.45691551668195;-34.63917363603372;-58.45691551668195;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;2;1;0;0
201612;13/12/2016;11;AU 25 DE MAYO;ASCENDENTE;5800;-34.62722305103215, -58.41364612086367;-34.62722305103215;-58.41364612086367;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;13/12/2016;12;AU 25 DE MAYO;ASCENDENTE;4000;-34.62989359889013, -58.43296875458969;-34.62989359889013;-58.43296875458969;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;13/12/2016;16;AU DELLEPIANE;DESCENDENTE;2000;-34.67432892815189, -58.477603081448855;-34.67432892815189;-58.477603081448855;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;1;0
201612;13/12/2016;20;AV CANTILO;ASCENDENTE;8600;;;;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;14/12/2016;15;AU DELLEPIANE;DESCENDENTE;1200;-34.68118615395085, -58.48053562000203;-34.68118615395085;-58.48053562000203;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;0;1;0;0
201612;15/12/2016;1;AU PERTIO MORENO;DESCENDENTE;5000;-34.64778057820478, -58.479987178744125;-34.64778057820478;-58.479987178744125;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;15/12/2016;11;AU 25 DE MAYO;ASCENDENTE;5900;-34.62705751836461, -58.412573237264645;-34.62705751836461;-58.412573237264645;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
201612;15/12/2016;14;AU DELLEPIANE;DESCENDENTE;2300;-34.67189347747785, -58.47651043008424;-34.67189347747785;-58.47651043008424;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
201612;15/12/2016;16;AU ILLIA;DESCENDENTE;2400;-34.5798807500063, -58.386922445627974;-34.5798807500063; -58.386922445627974;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
201612;16/12/2016;5;AU 25 DE MAYO;DESCENDENTE;5500;-34.62749022457019, -58.41690964205247;-34.62749022457019;-58.41690964205247;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
